from_node_id,from_name,to_node_id,to_name,travel_time_min,distance_m
27,Lab 27,17,Lab 17,14.996143233393793,12468.663559515613
27,Lab 27,18,Lab 18,11.739907643987197,9667.214806791244
27,Lab 27,19,Lab 19,6.183039834943657,5257.825895224094
27,Lab 27,20,Lab 20,4.460559488252528,2945.7357258917727
27,Lab 27,21,Lab 21,11.506234905837635,9017.640212834847
27,Lab 27,22,Lab 22,13.421711940773491,10514.324322523044
27,Lab 27,23,Lab 23,5.205570882909086,4975.107183969731
27,Lab 27,24,Lab 24,10.970150432871616,9492.857216364544
27,Lab 27,25,Lab 25,7.530787428833249,5728.357933763096
27,Lab 27,26,Lab 26,5.75481391425964,4431.71029332158
27,Lab 27,27,Lab 27,0.0,0.0
27,Lab 27,28,Lab 28,8.658774989235525,7253.418146367716
27,Lab 27,29,Lab 29,7.712678261160032,6020.731129910955
27,Lab 27,30,Lab 30,8.38367076508426,7328.734061688554
27,Lab 27,31,Lab 31,7.592541690600735,5973.331697879679
27,Lab 27,32,Lab 32,17.297057409606616,13979.97231306392
27,Lab 27,33,Lab 33,13.70561349392263,10996.990506047572
27,Lab 27,34,Lab 34,8.504494338019102,6764.6320521627795
27,Lab 27,35,Lab 35,6.748147377107247,5193.404350005727
27,Lab 27,36,Lab 36,14.248839451182409,11257.307230460154
27,Lab 27,37,Lab 37,11.173079719358876,8953.14394216549
27,Lab 27,38,Lab 38,6.774977252065752,5770.266678822961
27,Lab 27,39,Lab 39,7.883393176088199,5933.28296506621
27,Lab 27,40,Lab 40,12.970111160538446,10667.708326886339
28,Lab 28,0,Central Hospital,3.3656002552028763,2803.1499770292758
28,Lab 28,1,Lab 1,6.885736290511053,5251.802818144664
28,Lab 28,2,Lab 2,1.934665716366299,1544.9519068151146
28,Lab 28,3,Lab 3,7.095023232030136,5310.785334957107
28,Lab 28,4,Lab 4,13.593111719413894,11753.349821887088
28,Lab 28,5,Lab 5,9.396934581174653,7231.007163630365
28,Lab 28,6,Lab 6,7.069141315505951,5652.264343085699
28,Lab 28,7,Lab 7,7.098643169488157,5817.58459432721
28,Lab 28,8,Lab 8,10.756764917398709,8878.167439590445
28,Lab 28,9,Lab 9,10.670933252470338,7721.071128273379
28,Lab 28,10,Lab 10,5.361525394049819,4187.098679293023
28,Lab 28,11,Lab 11,10.129021734453772,8931.51913260351
28,Lab 28,12,Lab 12,3.9169696972704084,3155.78117358453
28,Lab 28,13,Lab 13,8.156633751709927,6932.755416759041
28,Lab 28,14,Lab 14,6.753494044755928,4284.161484373069
28,Lab 28,15,Lab 15,8.718945077651115,6657.820856418093
28,Lab 28,16,Lab 16,9.32774386730758,7196.411806696828
28,Lab 28,17,Lab 17,15.72297644892022,12917.229594006772
28,Lab 28,18,Lab 18,3.7147058360507894,2646.5041288757393
28,Lab 28,19,Lab 19,6.975052621223783,5801.134442229205
28,Lab 28,20,Lab 20,5.624753264791666,4558.337689961672
28,Lab 28,21,Lab 21,8.805702975750041,7327.713774248506
28,Lab 28,22,Lab 22,8.402438003597846,6652.525702090021
28,Lab 28,23,Lab 23,4.6550713971135576,3870.0346371481596
28,Lab 28,24,Lab 24,17.270009868635633,14228.790614340734
28,Lab 28,25,Lab 25,3.2496533955249913,2226.234649436674
28,Lab 28,26,Lab 26,3.6735369181955755,2965.6793967183808
28,Lab 28,27,Lab 27,8.74375977923243,7224.467591866122
28,Lab 28,28,Lab 28,0.0,0.0
28,Lab 28,29,Lab 29,2.2564822527056325,1834.9307694345448
28,Lab 28,30,Lab 30,14.683530200848276,12113.326339528072
28,Lab 28,31,Lab 31,7.220629825402464,5724.573992653683
28,Lab 28,32,Lab 32,15.930208475478931,12919.1263965925
28,Lab 28,33,Lab 33,12.338764559794946,9936.144589576155
28,Lab 28,34,Lab 34,5.435649328895097,4436.194883717754
28,Lab 28,35,Lab 35,6.8572357812575016,5472.799329850814
28,Lab 28,36,Lab 36,8.628536765194271,6684.7262181676815
28,Lab 28,37,Lab 37,2.7984307340089543,1939.3384836039813
28,Lab 28,38,Lab 38,8.842322178277076,6520.866734804027
28,Lab 28,39,Lab 39,2.8978621653386956,1971.1866941749747
28,Lab 28,40,Lab 40,4.3739499952514915,3479.869577208541
29,Lab 29,0,Central Hospital,3.7490563464371705,3122.1369426413203
29,Lab 29,1,Lab 1,4.6292540378054206,3416.872048710119
29,Lab 29,2,Lab 2,1.920722616764769,1441.5250224195158
29,Lab 29,3,Lab 3,4.876899462829264,3475.854565522565
29,Lab 29,4,Lab 4,11.336629466708262,9918.419052452546
29,Lab 29,5,Lab 5,7.19605229448257,5396.076394195825
29,Lab 29,6,Lab 6,7.79410794480099,6220.716081962326
29,Lab 29,7,Lab 7,7.213778637770026,5816.743324190069
29,Lab 29,8,Lab 8,9.517436402541621,7586.254293283708
29,Lab 29,9,Lab 9,8.470050965778263,5909.871330019318
29,Lab 29,10,Lab 10,3.1050431413441855,2352.167909858478
29,Lab 29,11,Lab 11,9.193062820854918,7424.393632241767
29,Lab 29,12,Lab 12,1.6604874445647755,1320.8504041499853
29,Lab 29,13,Lab 13,8.290625870979756,6438.578912753665
